#Hydration free energy datbase v0.52, 6/11/17.
#Semicolon-delimited text file with fields in the following format:
# compound id (and file prefix); SMILES; iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem); experimental value (kcal/mol); experimental uncertainty (kcal/mol); Mobley group calculated value (GAFF) (kcal/mol); calculated uncertainty (kcal/mol); experimental reference (original or paper this value was taken from); calculated reference; text notes.
mobley_1017962; CCCCCC(=O)OC; methyl hexanoate; -2.49; 0.60; -3.30; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3686115; CCOC(C)OCC; 1,1-diethoxyethane; -3.28; 0.20; -1.79; 0.04; 10.1021/jm070549+; 10.1021/acs.jced.7b00104; Topology and coordinate files re-generated 10/9/13 from original .mol2 files.  Experimental uncertainty not presently available, so assigned a default value.  Experimental uncertainty estimate updated to 0.2 as of v0.2 to match uncertainty estimate given in Nicholls et al. paper.  
mobley_3690931; CCCC(=O)OCCC; propyl butanoate; -2.28; 0.60; -2.75; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3709920; CCCCCCCC=C; non-1-ene; 2.06; 0.60; 3.00; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3715043; Cc1ccc(c2c1cccc2)C; 1,4-dimethylnaphthalene; -2.82; 0.60; -3.08; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3727287; C1=CC(=O)C=CC1=O; quinone; -6.50; 0.20; -6.96; 0.03; 10.1039/P29900000291; 10.1021/acs.jced.7b00104; Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  
mobley_3738859; CCCCCBr; 1-bromo-pentane; -0.10; 0.20; 0.82; 0.03; 10.1039/P29900000291; 10.1021/acs.jced.7b00104; Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  
mobley_3746675; CC(=C)c1ccccc1; isopropenylbenzene; -1.24; 0.60; -0.65; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3761215; CC(Cl)(Cl)Cl; 1,1,1-trichloroethane; -0.19; 0.60; 0.51; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3762186; C(Cl)Cl; dichloromethane; -1.31; 0.60; 0.04; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3775790; Cn1cccc1; 1-methylpyrrole; -2.89; 0.60; -2.37; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3777264; c1cc(cc(c1)[N+](=O)[O-])N; 3-nitroaniline; -8.84; 0.60; -8.20; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3802803; CCCCCCO[N+](=O)[O-]; hexyl nitrate; -1.66; 0.10; -1.60; 0.02; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3843583; c1ccc2c(c1)cccc2N; naphthalen-1-amine; -7.28; 0.60; -7.78; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3867265; CC(=O)C; acetone; -3.80; 0.60; -3.51; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3968043; C1CCC(=O)C1; cyclopentanone; -4.70; 0.60; -3.89; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3968739; COC(=O)c1ccccc1; methyl benzoate; -3.92; 0.60; -4.92; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3969312; c1ccc(cc1)C=O; benzaldehyde; -4.02; 0.60; -5.06; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_397645; CCOC(=O)c1ccccc1; ethyl benzoate; -3.64; 0.60; -4.60; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3976574; c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2; 1,2,3,4,7-pentachlorodibenzo-p-dioxin; -4.15; 1.00; -2.31; 0.04; 10.1007/s10822-012-9568-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3980099; c1cc(c(c(c1)Cl)Cl)Cl; 1,2,3-trichlorobenzene; -1.24; 0.60; -0.51; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3982371; CC(=O)OC; methyl acetate; -3.13; 0.60; -3.83; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_3999471; CC(Cl)Cl; 1,1-dichloroethane; -0.84; 0.60; 0.19; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4013838; CC(C)C(=O)C(C)C; 2,4-dimethylpentan-3-one; -2.74; 0.60; -2.63; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4035953; Cc1ccccc1O; o-cresol; -5.90; 0.20; -5.08; 0.03; 10.1039/P29900000291; 10.1021/acs.jced.7b00104; Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  
mobley_4039055; c1c(c(=O)[nH]c(=O)[nH]1)Br; 5-bromouracil; -18.17; 0.55; -17.30; 0.03; 10.1007/s10822-010-9350-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4043951; CCCC=C; pent-1-ene; 1.68; 0.60; 2.53; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4043987; CCCCC(C)C; 2-methylhexane; 2.93; 0.60; 2.89; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4059279; CN1CCN(CC1)C; 1,4-dimethylpiperazine; -7.58; 0.60; -7.87; 0.03; 10.1139/v91-2; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4149784; c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl; 2,7-dichlorodibenzo-p-dioxin; -3.67; 0.12; -3.32; 0.04; 10.1007/s10822-012-9568-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4177472; CC(C)C(C)C(C)C; 2,3,4-trimethylpentane; 2.56; 0.60; 2.67; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4188615; CN(C)C(=O)c1ccccc1; N,N-dimethylbenzamide; -9.29; 0.60; -8.11; 0.03; 10.1139/v92-210; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4193752; c1ccc(cc1)[N+](=O)[O-]; nitrobenzene; -4.12; 0.60; -3.46; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4218209; COc1ccc(cc1)N; 4-methoxyaniline; -7.48; 0.60; -7.02; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4219614; c1cc(c(c(c1Cl)Cl)Cl)Cl; 1,2,3,4-tetrachlorobenzene; -1.34; 0.60; -0.30; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4252724; CC(C)Cc1ccccc1; isobutylbenzene; 0.16; 0.60; -0.26; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4287564; Cc1ccccn1; 2-methylpyridine; -4.63; 0.60; -3.50; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4291494; c1ccnc(c1)Cl; 2-chloropyridine; -4.39; 0.60; -3.87; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_430089; CCCC#C; pent-1-yne; 0.01; 0.60; 0.47; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4305650; CCC#N; propanenitrile; -3.84; 0.60; -2.49; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4338603; c1c(=O)[nH]c(=O)[nH]c1Cl; 6-chlorouracil; -15.83; 1.22; -15.13; 0.03; 10.1007/s10822-010-9350-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4364398; CI; iodomethane; -0.89; 0.60; -0.64; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4371692; c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N; 1-amino-4-hydroxy-9,10-anthracenedione; -9.53; 0.28; -10.98; 0.05; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4375719; CCCCCCCCC; nonane; 3.13; 0.60; 3.22; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4395315; Cc1cc(ccc1Cl)O; 4-chloro-3-methyl-phenol; -6.79; 0.60; -5.14; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4434915; CCl; chloromethane; -0.55; 0.60; 0.76; 0.01; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4463913; CC(OC(=O)C)OC(=O)C; 1-acetoxyethyl acetate; -4.97; 0.60; -8.01; 0.03; 10.1139/v91-2; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4465023; C(=C\Cl)\Cl; (Z)-1,2-dichloroethylene; -1.17; 0.60; 1.16; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Renamed mobley_4465023 from (Z)-1,2-dichloroethylene to (Z)-1,2-dichloroethylene (the name from the 3D structure) since the former did not completely specify stereochemistry.  
mobley_4479135; C=C(c1ccccc1)c2ccccc2; 1,1-diphenylethene; -2.78; 0.10; -2.47; 0.04; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4483973; c1ccc(cc1)F; fluorobenzene; -0.80; 0.60; -0.04; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4494568; Cc1ccc(cc1)Br; 1-bromo-4-methyl-benzene; -1.39; 0.60; -0.89; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4506634; [C@@H](C(F)(F)F)(Cl)Br; 2-bromo-2-chloro-1,1,1-trifluoro-ethane; -0.11; 0.60; 0.21; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Renamed mobley_4506634 from 2-bromo-2-chloro-1,1,1-trifluoro-ethane to (2R)-2-bromo-2-chloro-1,1,1-trifluoro-ethane (the name from the 3D structure) since the former did not completely specify stereochemistry.  
mobley_4553008; c1cc(ccc1Cl)Cl; 1,4-dichlorobenzene; -1.01; 0.60; -0.19; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4561957; CC(C)C(C)C; 2,3-dimethylbutane; 2.34; 0.60; 2.47; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4584540; Cc1cccc(n1)C; 2,6-dimethylpyridine; -4.59; 0.60; -3.44; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4587267; C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O; (2R,3R,4R,5R)-Hexan-1,2,3,4,5,6-hexol; -23.62; 0.32; -18.16; 0.09; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4603202; C(CCl)OCCCl; 1-chloro-2-(2-chloroethoxy)ethane; -4.23; 0.20; -2.25; 0.04; 10.1021/jm070549+; 10.1021/acs.jced.7b00104; Topology and coordinate files re-generated 10/9/13 from original .mol2 files.  Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from bis-2-chloroethyl ether to 1-chloro-2-(2-chloroethoxy)ethane for better handling/standardization.  Experimental uncertainty estimate updated to 0.2 as of v0.2 to match uncertainty estimate given in Nicholls et al. paper.  
mobley_4609460; CCOC(=O)c1ccc(cc1)O; ethyl paraben; -9.20; 0.30; -9.54; 0.04; 10.1007/s10822-010-9350-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4613090; c1ccc(cc1)Cn2ccnc2; 1-benzylimidazole; -7.63; 0.12; -8.00; 0.03; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4620651; COC(=O)C1CC1; methyl cyclopropanecarboxylate; -4.10; 0.60; -3.60; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4630641; COCCOC; 1,2-dimethoxyethane; -4.84; 0.60; -3.10; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4639255; C(CO)O; ethylene glycol; -9.30; 0.60; -7.27; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4678740; c1cc(cc(c1)C(F)(F)F)C(F)(F)F; m-bis(trifluoromethyl)benzene; 1.07; 0.20; -0.34; 0.03; 10.1021/jm070549+; 10.1021/acs.jced.7b00104; Topology and coordinate files re-generated 10/9/13 from original .mol2 files.  Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from m-bis(trifluoromethyl)benzene to 1,3-bis(trifluoromethyl)benzene for better handling/standardization.  Experimental uncertainty estimate updated to 0.2 as of v0.2 to match uncertainty estimate given in Nicholls et al. paper.  
mobley_4683624; CCCc1ccc(cc1)O; 4-propylphenol; -5.21; 0.69; -5.21; 0.03; 10.1021/je00018a020 and Terres, E., Gebert, F., Hulsemann, H., Petereit, H., Toepsch, H., Ruppert, W., Brennstoff-Chemie 1955, 36, 272-274; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  Experimental value updated 10/22/13 as the average of -5.90 and -4.52, which are measured experimental values from Varhanickova, D., Shiu, W., Mackay, D., J. Chem. Eng. Data 1995, 40, 448-451 and Terres, E., Gebert, F., Hulsemann, H., Petereit, H., Toepsch, H., Ruppert, W., Brennstoff-Chemie 1955, 36, 272-274., respectively. The uncertainty was taken as the standard deviation across these two measurements.  
mobley_4687447; CCCOCCO; 2-propoxyethanol; -6.40; 0.60; -3.94; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_468867; C1=C[C@@H]([C@@H]2[C@H]1[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl; heptachlor; -2.55; 0.10; -0.97; 0.04; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4690963; CCOCCOCC; 1,2-diethoxyethane; -3.54; 0.60; -3.42; 0.04; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4694328; CCCCCCCC=O; octanal; -2.29; 0.60; -2.57; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4699732; C[C@@H](CCl)Cl; 1,2-dichloropropane; -1.27; 0.60; -0.27; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Renamed mobley_4699732 from 1,2-dichloropropane to (2S)-1,2-dichloropropane (the name from the 3D structure) since the former did not completely specify stereochemistry.  
mobley_4715906; C[C@@H]1CCCC[C@@H]1C; 1,2-dimethylcyclohexane; 1.58; 0.60; 1.69; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Renamed mobley_4715906 from 1,2-dimethylcyclohexane to (1R,2S)-1,2-dimethylcyclohexane (the name from the 3D structure) since the former did not completely specify stereochemistry.  
mobley_4759887; CCCCCCCI; 1-iodoheptane; 0.27; 0.60; 0.23; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4762983; CCCCCC=C; hept-1-ene; 1.66; 0.60; 2.76; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4780078; Cc1ccc(c(c1)C)O; 2,4-dimethylphenol; -6.01; 0.60; -4.98; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4792268; CCCCC(=O)O; pentanoic acid; -6.16; 0.60; -9.05; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4845722; c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl; hexachlorobenzene; -2.33; 1.16; 0.38; 0.04; 10.1007/s10822-010-9350-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4850657; CS(=O)(=O)Cl; methanesulfonyl chloride; -4.87; 0.60; -6.22; 0.02; 10.1139/v98-084; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_486214; COc1cccc(c1O)OC; 2,6-dimethoxyphenol; -6.96; 0.10; -7.39; 0.04; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4883284; c1ccc(cc1)N; aniline; -5.49; 0.60; -5.54; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4884177; CCc1cccnc1; 3-ethylpyridine; -4.59; 0.60; -2.96; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4893032; CCCCC#N; pentanenitrile; -3.52; 0.60; -2.15; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4924862; CC(C)CCOC=O; isopentyl formate; -2.13; 0.60; -3.41; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_49274; CCCCCC#C; hept-1-yne; 0.60; 0.60; 0.64; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4934872; CCOC(OCC)Oc1ccccc1; diethoxymethoxybenzene; -5.23; 0.60; -5.20; 0.04; J. Peter Guthrie, unpublished data, as provided to D. Mobley 2007/2008, and as cited in 10.1021/jp0764384; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4936555; Cc1cccc(c1C)Nc2ccccc2C(=O)O; 2-(2,3-dimethylphenyl)aminobenzoic acid; -6.78; 0.10; -7.67; 0.04; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4964807; CC(=O)CO[N+](=O)[O-]; nitroxyacetone; -5.99; 0.10; -5.36; 0.03; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4983965; CCSCC; ethylsulfanylethane; -1.46; 0.60; 0.30; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_5003962; c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)N; 2-amino-9,10-anthraquinone; -11.53; 0.29; -13.89; 0.04; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_5006685; CC(=C)[C@H]1CCC(=CC1)C=O; 4-(1-Methylethenyl)-1-cyclohexene-1-carboxaldehyde; -4.09; 0.17; -3.59; 0.03; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Renamed mobley_5006685 from 4-(1-Methylethenyl)-1-cyclohexene-1-carboxaldehyde to (4S)-4-isopropenylcyclohexene-1-carbaldehyde (the name from the 3D structure) since the former did not completely specify stereochemistry.  
mobley_5026370; c1cnccc1C#N; pyridine-4-carbonitrile; -6.02; 0.60; -5.76; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_5052949; CCCSCCC; 1-propylsulfanylpropane; -1.28; 0.60; 0.64; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_5056289; C[C@H]1CCCO1; 2-methyltetrahydrofuran; -3.30; 0.60; -1.98; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Renamed mobley_5056289 from 2-methyltetrahydrofuran to (2S)-2-methyltetrahydrofuran (the name from the 3D structure) since the former did not completely specify stereochemistry.  
mobley_5063386; c1ccc(c(c1)[N+](=O)[O-])O; 2-nitrophenol; -4.58; 0.60; -5.67; 0.06; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_5072416; COc1ccccc1N; 2-methoxyaniline; -6.12; 0.60; -6.77; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_5076071; CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-]; 1-N,1-N-diethyl-2,6-dinitro-4-(trifluoromethyl)benzene-1,3-diamine; -5.66; 1.93; -7.50; 0.04; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from dinitramine to 1-N,1-N-diethyl-2,6-dinitro-4-(trifluoromethyl)benzene-1,3-diamine for better handling/standardization.  
mobley_5079234; CCCCCCCO; heptan-1-ol; -4.21; 0.60; -2.92; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_5094777; c1ccc2c(c1)CCC2; indane; -1.46; 0.60; -1.75; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_5110043; Cc1ccc2cc(ccc2c1)C; 2,6-dimethylnaphthalene; -2.63; 0.60; -2.85; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_511661; C=CC=C; butadiene; 0.56; 0.20; 1.96; 0.02; 10.1021/jo00891a006; 10.1021/acs.jced.7b00104; Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  
mobley_5123639; C[C@H](CC(C)C)O; 4-methylpentan-2-ol; -3.73; 0.60; -2.91; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_5157661; CC(C)C; isobutane; 2.30; 0.20; 2.54; 0.02; 10.1039/P29900000291; 10.1021/acs.jced.7b00104; Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  
mobley_5200358; CC(C)(/C=N\OC(=O)NC)SC; aldicarb; -9.84; 0.10; -9.68; 0.05; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Renamed mobley_5200358 from aldicarb to [(Z)-(2-methyl-2-methylsulfanyl-propylidene)amino] N-methylcarbamate (the name from the 3D structure) since the former did not completely specify stereochemistry.  
mobley_5220185; CCc1cnccn1; 2-ethylpyrazine; -5.45; 0.60; -5.81; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_525934; CS; methanethiol; -1.20; 0.20; -0.27; 0.02; 10.1039/P29900000291; 10.1021/acs.jced.7b00104; Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  
mobley_5263791; CCc1cccc2c1cccc2; 1-ethylnaphthalene; -2.40; 0.60; -2.96; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_52782; C(CO[N+](=O)[O-])O[N+](=O)[O-]; 1,2-dinitroxyethane; -5.73; 0.10; -6.23; 0.03; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from nitroglycol to 1,2-dinitroxyethane for better handling/standardization.  
mobley_5282042; CN(C)CCC=C1c2ccccc2CCc3c1cccc3; Amitriptyline; -7.43; 0.60; -7.35; 0.05; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_5286200; C(CCCl)CCl; 1,4-dichlorobutane; -2.32; 0.60; -0.40; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_5310099; CCCCC=C; hex-1-ene; 1.58; 0.60; 2.63; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_5311804; c1ccc(cc1)CO; phenylmethanol; -6.62; 0.60; -5.13; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_5326154; CN(C)c1ccccc1; N,N-dimethylaniline; -3.45; 0.60; -4.43; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_5346580; CC(=O)C(C)(C)C; 3,3-dimethylbutan-2-one; -3.11; 0.60; -3.23; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_5347550; COC(C(Cl)Cl)(F)F; 2,2-dichloro-1,1-difluoro-1-methoxy-ethane; -1.12; 0.60; -0.69; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_5371840; c1ccc2c(c1)Oc3ccc(cc3O2)Cl; 2-chlorodibenzo-p-dioxin; -3.10; 0.10; -4.05; 0.04; 10.1007/s10822-012-9568-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
